id,eng,jp
201,job,仕事
202,jungle,ジャングル
203,keep,保つ，～を(持ち)続ける
204,kind,親切な
205,kitchen,台所
206,knew,知っていた
207,know,知っている
208,known,知られている
209,land,陸地，土地
210,landmine,地雷
211,Landmine Museum,地雷博物館
212,large,大きい，広い
213,later,後で
214,lay,横たえる
215,least,最もすくない
216,left,左
217,less,より少ない
218,lesson,授業，課
219,level,レベル，水準，程度
220,lift,リフト、持ちあげる
221,light,光，明かり，信号
222,line,線，列
223,living room,リビングルーム
224,locate,特定する
225,lonely,淋しい，ひとりの
226,love,愛，愛する人
227,low,低い
228,made,作られた、作った
229,main,主な
230,major,主な，大きな／専攻する
231,market,市場
232,master,主人，達人／…を習得する
233,material,材料，原料／物質（的）な
234,may,５月
235,mean,意味する
236,meaning,意味
237,meeting,ミーティング
238,menu,メニュー
239,message,メッセージ
240,mid-1900s,1900年中盤
241,middle,中央
242,minute,分
243,moment,瞬間，時
244,moon,月
245,more,よりたくさんの
246,most,大半／最も…
247,must,～しなければならない
248,name,名前
249,narrow,幅が狭い
250,native,生まれ故郷の，生来の
251,need,必要とする
252,nervous,あがっている，神経質な
253,never,１度も～ない
254,news,ニュース
255,nothing,何もない
256,once,かつて，１度
257,opinion,意見
258,ourselves,自分自身
259,outside,外側の
260,over,～を超えて
261,oxcart,牛舎
262,paint,描く，(～に)ペンキを塗る
263,panic,パニック
264,paper,紙，レポート
265,parsley,パセリ
266,part,部分
267,party,パーティー
268,patient,我慢強い／患者
269,pay,支払う
270,peace,平和
271,perfect,完璧な
272,person,人
273,personal,個人の
274,Peter Rabbit,ピーターラビット
275,phone,電話
276,phone call,電話
277,photo,写真
278,pie,パイ
279,piece,断片
280,pilot,パイロット
281,plan,計画
282,plane,飛行機
283,plant,植物
284,plate,皿
285,point,点
286,poison,毒
287,police,警察
288,police officer,警察官
289,pollution,汚染
290,poor,貧乏な，かわいそうな
291,pot,ポット
292,power,力
293,prefer,より好む
294,presentation,プレゼンテーション
295,pretty,かなり
296,program,番組
297,promise,約束
298,protect,守る
299,public,公共の／大衆
300,public hall,公共会館
301,punish,罰する
302,purple,紫の
303,quick,速い
304,radish,大根
305,rain,雨
306,rainy,雨降りの
307,read,読む
308,real,ほんとうの
309,reason,理由，原因
310,recipe,レシピ
311,remain,残っている
312,remember,思い出す
313,remove,取り除く
314,rescue,助ける
315,respect,尊敬する
316,respond,反応する，返答する
317,return,帰る
318,rise,起き上がる，のぼる
319,road,道
320,robot,機械
321,roll,転がる
322,rule,規則
323,sacred,神聖な
324,sad,悲しい
325,said,言った
326,same,同じ
327,sang,歌った
328,say,言う
329,scrambled egg,スクランブルエッグ
330,sea level rise,海抜上昇
331,several,いくつかの
332,shall,～するものとする
333,shirt,シャツ
334,shopping,ショッピング
335,sick,病気で(の)
336,side,側面
337,sign,合図，標識
338,silent,静かな
339,site,場所，用地
340,size,サイズ、寸法
341,sleep,眠る
342,sleepy,眠い
343,slow,遅い
344,smile,ほお笑み
345,snow,雪
346,snowy,雪の降る
347,soldier,兵士
348,someone,誰か
349,soon,すぐに
350,sound,音
351,South Asia,南アジア
352,space,宇宙
353,spend,費やす，過ごす
354,spoke,話した
355,spoken,話された
356,spread,広がる，…を広げる
357,stadium,スタジアム
358,staff,スタッフ
359,star,星，スター
360,station,駅
361,stay,滞在する
362,step,足元，階段
363,still,まだ
364,store,店
365,straight,まっすぐに
366,stuff,モノ
367,style,スタイル
368,sugar,砂糖
369,suggest,提案する
370,summer class,夏季クラス
371,sun,太陽
372,sung,歌った
373,sunny,晴れた
374,supermarket,スーパーマーケット
375,sure,確信して
376,surf,サーフィンする
377,surprised,驚いた
378,surprising,意外な
379,table tennis,卓球
380,taken,取られた
381,tale,お話
382,tall,背の高い
383,task,仕事，作業
384,tea,お茶
385,test,試験
386,than,よりも
387,thing,こと・物
388,thought,考え
389,through,～を通って、～を経て
390,ticket,チケット
391,together,一緒に
392,toilet,トイレ
393,took,取った、撮った
394,top,頂上
395,touch,触れる
396,tourism,観光業
397,toy,おもちゃ
398,traditional,伝統的な
399,trouble,トラブル
400,try,試す
401,turn,曲がる，回る，変化する
402,understand,理解する
403,until,～まで
404,up,上へ
405,upon,～の上に
406,used,使用した、使った
407,useful,役に立つ
408,vacation,休暇
409,vegetable,野菜
410,vet,獣医
411,video,ビデオ
412,village,町、村
413,visitor,訪問者
414,wait,待つ
415,war,戦争
416,warm,温暖な
417,warming,温暖化
418,was,～であった
419,way,道，方法
420,weather,天気
421,were,なった
422,western,西部の
423,while,～する間
424,wide,幅が広い
425,will,～するつもり
426,without,～なしで
427,woman,女性
428,wonder,不思議に思う
429,wonderful,すばらしい
430,word,言葉
431,world,世界
432,World Heritage Site,世界遺産
433,worry,悩ませる
434,worse,より悪い
435,worst,最悪
436,worth,価値がある
437,writing,書いている
438,written,書かれた
439,yet,まだ
440,young,若い
441,yourself,あなた自身
442,shoulder,肩
443,show,ショー
444,shrine,神社
445,Simmons,シモンズ
446,sing,歌う
447,singer,歌手
448,sister,姉妹
449,sit,座る
450,six,6
451,sixteen,16
452,sixth,6番目の
453,sixty,60
454,sky,空
455,small,小さな
456,snack,おやつ
457,so,そんなに
458,soccer,サッカー
459,social,社会の，社交の
460,social studies,社会
461,some,いくつかの
462,something,何か
463,sometimes,時々
464,son,息子
465,song,歌
466,sorry,ごめんなさい、残念な
467,Spanish,スペインの、スペイン語
468,speak,話す
469,special,特別の
470,speech,演説
471,spirit,魂
472,sport,スポーツ
473,sports day,体育祭
474,spring,春
475,sprint,短距離走
476,stairs,階段
477,stand,立つ
478,start,出発する，～を始める
479,stop,止める，
480,story,話
481,street,通り
482,strong,強い，じょうぶな
483,student,学生
484,study,勉強する
485,subject,科目，題目
486,summer,夏
487,Sunday,日曜日
488,swam,泳いだ
489,swim,泳ぐ
490,Sydney,シドニー
491,table,テーブル
492,take,(時間が)かかる，
493,talk,話す
494,taxi,タクシー
495,teach,教える
496,teacher,先生
497,team,チーム
498,teeth,歯(複数)
499,tell,教える，語る
500,ten,10
501,tennis,テニス
502,tenth,10番目の
503,terrible,ひどい，不快な
504,textbook,教科書
505,thank,感謝する
506,that,あの
507,the,その
508,their,彼らの
509,them,彼らに(を)
510,then,それから，そのとき
511,there,そこに
512,these,これらの
513,they,彼ら
514,think,信じる
515,third,3番目の
516,thirsty,喉の乾いた
517,thirteen,13
518,thirteenth,１３番目の
519,thirtieth,３０番目の
520,thirty,30
521,this,この
522,those,あれらの
523,thousand,千
524,three,3
525,throw,投げる
526,Thursday,木曜日
527,tie,ネクタイ
528,time,時，～回
529,tired,疲れて
530,to,～へ
531,today,今日，現在
532,tomorrow,明日
533,too,～もまた，
534,tooth,歯
535,town,街、町
536,track and field,陸上競技
537,train,列車
538,tree,木
539,trip,旅行
540,Tuesday,火曜日
541,tug-of-war,綱引き
542,turtle,かめ
543,TV,テレビ
544,twelfth,１２番目の
545,twelve,12
546,twentieth,２０番目の
547,twenty,20
548,two,2
549,uncle,おじ
550,under,～の下に
551,us,わたしたちに(を)
552,USA,アメリカ合衆国
553,use,使う
554,usually,ふつう
555,very,非常に
556,violin,バイオリン
557,visit,訪問する
558,voice,声
559,volleyball,バレーボール
560,volunteer,ボランティア，志願兵
561,walk,散歩
562,wall,壁
563,want,欲しい
564,wash,洗う
565,watch,腕時計
566,water,水
567,we,わたしたち
568,wear,着る
569,Wednesday,水曜日
570,week,週
571,weekend,週末
572,welcome,ようこそ
573,well,よく，じょうずに
574,went,行った
575,what,何
576,wheel,ホイール
577,wheelchair,車いす
578,when,～するとき
579,where,どこに
580,which,どちら
581,White,白い
582,white,白い
583,White Rabbit,白うさぎ
584,who,誰
585,whose,誰の
586,why,なぜ
587,win,勝つ
588,window,窓
589,winter,冬
590,with,～とともに
591,Wonderland,不思議の国
592,work,仕事，作品
593,write,書く，手紙を書く
594,wrote,書いた
595,Yang,ヤン
596,Yang Meiling,ヤン・メーリン
597,year,年
598,yellow,黄色の
599,yes,はい
600,yesterday,昨日
601,you,あなた
602,your,あなたの
603,yours,あなたのもの
604,zero,ゼロ
605,zoo,動物園
