id,eng,jp
235,order,"《しばしば複数形で》『命令』,指図,指令"
236,organize,組織する、整える
237,outlook,"…‘の'『見通し』,見込み"
238,overcome,"(試合・戦闘などで)…‘に'『打ち勝つ』,‘を'圧倒する(conquer)"
239,overseas,"海を越えて,外国へ(abroad)"
240,paid,payの過去・過去分詞
241,paper crane,折り紙のツル
242,Paralympics,パラリンピック
243,particular,"『特にこの』(『あの』),特定の"
244,passion,"『激しい感情』,情念,熱情"
245,past,"『過去』,終わった(over)"
246,Peace Memorial Park,平和記念公園
247,peaceful,"『平和な』,平和的な,平和を好む"
248,perform,〈困難なことなど〉‘を'『成し遂げる』
249,performance,"(…の)『遂行』,実行,履行《+『of』+『名』》"
250,performer,"《修飾語を伴って》実行する人,遂行する人"
251,period,(あることが続く)『期間』
252,Philippines,フィリピン共和国(正式にはthe Republic of the Philippines)
253,physically challenged,肉体的な挑戦
254,pleasure,"(…の)『喜び』,『楽しみ』《+『of』+『名』(do『ing』)》"
255,politician,『政治家』
256,popular culture,人気のある文化
257,positive,"『肯定した,同意の』"
258,possible,"(物事が)『可能な』,実行できる"
259,postcard,『郵便はがき』
260,poster,"ポスター,びら"
261,pressure,"圧力,圧力の強さ"
262,principal,"(重要性・地位・価値などが)『第1の』;おもな,主要な"
263,principal's office,校長室
264,print,…‘を'『印刷する』
265,professional,《名詞の前にのみ用いて》『専門職の』;(一般に)職業の
266,professor,(大学の)『教授』
267,purpose,"(人の抱く)『目的』,目標,意図"
268,quiet,"『静かな』,ひっそりした,閑静な"
269,quit,"…‘を'『やめる』,『中止する』"
270,racket,"ばか騒ぎ,大騒ぎ;騒動(uproar)"
271,raise,"…‘を'『上げる』,持ち上げる;〈倒れた物〉‘を'起こす"
272,reality,"現実[性],実在"
273,realize,悟る、思いつく
274,receive,"〈贈与・送付されたもの〉‘を'『受け取る』,受ける"
275,recycle,〈廃物など〉‘を'再利用する
276,reduce,"『減らす』,小さくする;〈程度・地位など〉‘を'『下げる』"
277,refugee,"亡命者,逃亡者,難民"
278,relay,"(駅馬車などの)替え馬,継ぎ馬"
279,remind,"〈人〉‘に'『思い出させる』,念を押す:"
280,report,"(…についての(『報告』,『報道』"
281,research,"『研究』,『調査』"
282,reuse,"…‘を'再使用する,再生する"
283,ride,"(馬・自転車・電車などに)『乗って行く』,『乗っている』馬に乗る"
284,right,正しい、権利
285,Rio de Janeiro,リオデジャネイロ(Brazilの旧首都で海港)
286,roof,"『屋根』;屋上;《比喩(ひゆ)的に》家,家庭"
287,Russia,(帝政)『ロシア』
288,Samba Parade,サンバのお祭り
289,save,"『救う』,救援する"
290,Sawyer,"木びき,木をひく人"
291,scene,"『風景』『現場』,場所"
292,scientist,"『科学者』,自然科学者"
293,seat,『腰掛け』
294,section,"(全体を構成する個々の)『部分』,部品"
295,seen,seeの過去分詞
296,select,"(最高・最適のものとして)…‘を'『選ぶ』,選抜する,選出する"
297,sell,"…‘を'『売る』,売却する"
298,sent,sendの過去・過去分詞
299,serious,"『まじめな』,厳粛な"
300,serve,"〈人〉‘に'『仕える』,‘の'役に立つ;〈社会など〉‘に'尽くす"
301,set,‘を'『置く』・すえる・(ある物に)…‘を'『つける』
302,share,"《時にa~》『分け前』,取り分"
303,shine,"『光る,輝く』,樋り"
304,shock,"(衝突・爆発などの)『衝撃』,(地震の)震動,電撃"
305,shoot,"(…に)〈銃・大砲〉‘を'『撃つ』,発射する,〈弓など〉‘を'射る"
306,shot,shootの過去・過去分詞
307,should,"《単純未来》・《意志未来》『すべきである』,するのが当然である,しなくてはならない"
308,shown,showの過去分詞
309,shy,"(人が)『恥ずかしがり屋の』,内気な"
310,shyness,"恥ずかしさ,内気;おく病"
311,sickness,『病気でいること』;(個々の)『病気』
312,simple,"『簡単な』容易な,分かりやすい"
313,since,"『以後』[『ずっと』],…以来[ずっと]"
314,situation,"(人の)『立場』,状態,境遇"
315,skate,スケート
316,skill,"(…の)『熟練』,技量,腕《+『in』+『名』(do『ing』)》"
317,skin,"(人・動物の)『皮膚』,肌"
318,slump,"(…に)くずれるように落ちる(倒れる,沈み込む)"
319,smell,"『かぐ』,においをかぐ"
320,southeastern,"南東の,南東へ向かう"
321,Spain,『スペイン』
322,spent,spendの過去・過去分詞
323,statue,"『像』,彫像,立像"
324,stiff,"(物が)『堅い』,しなやかでない"
325,stood,standの過去・過去分詞
326,strongly,"『強く』,激しく"
327,struggle,"『もがく』,あがく"
328,success,"『成功』,好結果"
329,such,"『こんな』,あんな"
330,suddenly,"『突然に』,だしぬけに"
331,support,…‘を'『支える』
332,survive,"…の後まで生きる, …より長生きする; 助かる; 耐える・生き残る; 残存する"
333,tail,"『尾』,しっぽ"
334,taste,『味覚』
335,taught,teachの過去・過去分詞
336,teachers' room,先生の部屋
337,teamwork,協同作業
338,temple,"お寺、こめかみ,側頭"
339,theme,"『主題』,論題,題[目],テーマ"
340,thinking,"『思考力のある』,考える;思慮深い"
341,though,"『…にもかかわらず』,…だけれども)although)"
342,told,tell の過去・過去分詞
343,tour,(数か所に立ち寄る比較的長期の)(…の)『観光旅行』
344,tournament,トーナメント
345,tragedy,悲劇
346,travel,(特に遠くへ)『旅行する』
347,TRUE,真実
348,two-year-old,二年前の
349,type,"(…の)『型』,タイプ,類型,種類(kind)《+of+名》"
350,understood,understandの過去・過去分詞
351,unfair,"不公平な,不当な,かたよった"
352,uniform,"『不変の』,一定の"
353,United States,アメリカ合衆国
354,university,『大学』
355,upset,『怒っている』
356,US,アメリカ
357,victory,(…に対する)『勝利』
358,"Washington, D.C.",ワシントンDC（地名）
359,waste,"‘を'『むだに使う』,浪費する"
360,whistle,『口笛を吹く』;口笛を吹いて合図する
361,wild,『野生の』
362,William Kamkwamba,ウィリアム カムワクンバ
363,wind,『風』
364,windmill,『風車』
365,winner,"『勝利者』,優勝者;(競馬の)勝ち馬"
366,Winter,"『冬』,冬季"
367,wire,"『針金』,金属線"
368,wish,『であればよいのにと思う』
369,won,win の過去・過去分詞
370,wood,"(樹木の)木質部,木質"
371,wore,wearの過去
372,World Cup,ワールドカップ
373,would,《時制の一致により will の過去形として》
374,wrap,"(人・物に)…‘を'『巻きつける』,掛ける"
375,writer,"『作家』,著者,筆者"
376,wrong,"『正しくない』,間違っている,誤った"
377,yearbook,"年鑑,年報"
